ID,Manufacturer,Model,Category,Mileage,Gear box type,Doors,Wheel,Color,Interior color,VIN,Leather interior,Price,Customs
45744159,BMW,325,Sedan,200000 km,Tiptronic,4/5,Left wheel,Black,Black,,0,2500,
45805388,OPEL,Astra,Hatchback,150000 km,Manual,4/5,Left wheel,Silver,Black,,0,Price negotiable,1361
45647865,MERCEDES-BENZ,ML 350,Jeep,193267 km,Automatic,4/5,Left wheel,Grey,,4JGDA5HB4CA026421,1,7100,1058
45038864,CHEVROLET,Malibu,Sedan,48421 km,Automatic,4/5,Left wheel,Black,Black,1G1ZE5ST2GF171071,0,5050,562
45744116,MERCEDES-BENZ,Sprinter 211 CDI,Microbus,412000 km,Manual,4/5,Left wheel,White,Black,,0,5500,1832
45596534,NISSAN,Juke,Sedan,0 km,Automatic,,Left wheel,Red,,JN8AF5MR2HT702375,1,825,831
45646386,MERCEDES-BENZ,ML 350,Jeep,134566 km,Automatic,4/5,Left wheel,Blue,,4JGDA5HB2EA361020,1,Price negotiable,1053
45805382,BMW,X6,Jeep,154893 km,Automatic,4/5,Left wheel,Black,Black,5UXFG8C52DL591463,1,Price negotiable,87
45776441,TOYOTA,Camry,Sedan,138000 km,Automatic,4/5,Left wheel,Black,Black,,1,6800,777
45791403,FORD,Escape,Jeep,28659 km,Automatic,4/5,Left wheel,Silver,Grey,1FMCU9G92HUA92402,1,Price negotiable,1017
45618003,FORD,Transit,Microbus,20000 km,Manual,2/3,Left wheel,White,Black,,0,3500,
45646369,MERCEDES-BENZ,ML 350,Jeep,186542 km,Automatic,4/5,Left wheel,White,,4JGBB8GB6BA733798,1,650,1172
45791399,FORD,Escape,Jeep,25736 km,Automatic,4/5,Left wheel,Black,Grey,1FMCU9GD0HUC77942,1,Price negotiable,784
45805376,BMW,X6,Jeep,92926 km,Automatic,4/5,Left wheel,,Brown,5UXFG8C58EL592635,1,Price negotiable,87
45596524,NISSAN,Juke,Jeep,11800 km,Automatic,4/5,Left wheel,White,,JN8AF5MVXET365625,1,Price negotiable,528
45744094,FORD,C-MAX,Sedan,134000 km,Variator,4/5,Left wheel,Black,Beige,,0,5800,
45448318,BMW,525,Sedan,230000 km,Tiptronic,4/5,Left wheel,Black,Black,,1,2600,
45646342,MERCEDES-BENZ,ML 350,Jeep,224118 km,Automatic,4/5,Left wheel,White,,4JGDA5HB0CA007476,1,30,1058
45791395,FORD,Escape,Jeep,19370 km,Automatic,4/5,Left wheel,Red,Grey,1FMCU9G95HUC46388,1,Price negotiable,1017
45596511,NISSAN,Juke,Jeep,161688 km,Automatic,4/5,Left wheel,Silver,,JN8AF5MR2DT205210,1,Price negotiable,530
45776428,LEXUS,UX250h,Hatchback,6400 km,Automatic,4/5,Left wheel,White,White,,1,Price negotiable,503
45805370,BMW,X6,Jeep,107550 km,Automatic,4/5,Left wheel,Grey,Black,5UXKU2C54F0N77217,1,Price negotiable,87
45744074,HONDA,Civic,Sedan,110000 km,Automatic,4/5,Right-hand drive,Blue,Black,,0,3100,
45776423,TOYOTA,Camry,Sedan,240000 km,Automatic,4/5,Left wheel,Grey,Beige,,0,5900,986
45650507,TOYOTA,Highlander,Sedan,299021 km,Automatic,4/5,Left wheel,Green,Black,5TDBK3EH6CS132295,1,Price negotiable,1058
42326601,MITSUBISHI,Pajero,Jeep,222000 km,Tiptronic,4/5,Left wheel,Black,Black,,1,38,
45744016,TOYOTA,Camry,Sedan,211200 km,Automatic,4/5,Left wheel,White,Beige,,0,5650,
45805364,BMW,X6,Jeep,61048 km,Automatic,4/5,Left wheel,White,Black,5UXKU6C35H0W38535,1,Price negotiable,2132
45596493,NISSAN,Juke,Jeep,166013 km,Automatic,4/5,Left wheel,White,,JN8AF5MR1DT215890,1,Price negotiable,530
45744006,BMW,750,Sedan,96000 km,Tiptronic,4/5,Left wheel,Black,White,,1,10000,1451
45650483,TOYOTA,Highlander,Sedan,623768 km,Automatic,4/5,Left wheel,Black,Black,5TDBK3EH3DS190981,1,Price negotiable,1055
45776414,NISSAN,X-Terra,Jeep,200000 km,Manual,4/5,Left wheel,Silver,Beige,,0,2900,
45596471,NISSAN,Juke,Jeep,237670 km,Automatic,4/5,Left wheel,Red,,JN8AF5MV3ET363280,1,Price negotiable,528
45791387,FORD,Escape,Jeep,49021 km,Automatic,4/5,Left wheel,Blue,,1FMCU0G91HUB78814,1,Price negotiable,87
45650459,TOYOTA,Highlander,Jeep,156397 km,Automatic,4/5,Left wheel,Black,Black,JTEEW44A282006389,1,Price negotiable,1750
45805358,BMW,X6,Jeep,8034 km,Automatic,4/5,Left wheel,Black,Black,5UXKU2C3XH0X46903,1,Price negotiable,87
38256338,TOYOTA,Camry,Sedan,100000 km,Automatic,4/5,Left wheel,Black,Beige,,1,Price negotiable,
45791383,SUBARU,Forester,Jeep,31531 km,Automatic,4/5,Left wheel,Red,Grey,JF2SJABC0HH521169,1,Price negotiable,1249
